recordid,longitude,latitude,datetime,event_link,location
788,18.6788396,54.6957333,2020-10-28T00:00:00,https://www.facebook.com/events/s/strajk-kobiet-jastarnia-plac-p/446906699997750/,POINT(18.6788396 54.6957333)
789,21.2616248,52.1053186,2020-10-28T00:00:00,https://www.facebook.com/events/375411366843487/,POINT(21.2616248 52.1053186)
790,19.4723528,51.7475682,2020-10-28T00:00:00,,POINT(19.4723528 51.7475682)
791,21.5625508,52.1781731,2020-10-28T00:00:00,https://www.facebook.com/events/1450131041848676/,POINT(21.5625508 52.1781731)
792,17.2999079,50.9404595,2020-10-28T00:00:00,https://www.facebook.com/events/375488236912713/,POINT(17.2999079 50.9404595)
793,18.7865075,49.7989409,2020-10-28T00:00:00,https://www.facebook.com/events/827374031364234/,POINT(18.7865075 49.7989409)
794,22.9053684,51.6371805,2020-10-28T00:00:00,https://www.facebook.com/events/1733075716862035/,POINT(22.9053684 51.6371805)
795,12.4963655,41.9027835,2020-10-28T00:00:00,https://www.facebook.com/events/3490763351011304/,POINT(12.4963655 41.9027835)
796,153.0251235,-27.4697706999999,2020-10-28T00:00:00,https://www.facebook.com/photo.php?fbid=10159244489872150&set=p.10159244489872150&type=3&av=1539769832715676&eav=AfZIp2qgODZIetWzEXjGwWii_raEA-2RvPBxzhB4DV7Z3k-5MI6uUsOi84M9vEhDldLh0sag07zK3Duppk4_UQiS,POINT(153.0251235 -27.4697706999999)
797,18.0333759,53.1178077,2020-10-28T00:00:00,https://www.facebook.com/events/377451333377043/,POINT(18.0333759 53.1178077)
798,19.126891,50.797538,2020-10-28T00:00:00,https://www.facebook.com/events/373273000527148/,POINT(19.126891 50.797538)
799,4.28240250000004,52.0653258,2020-10-28T00:00:00,https://www.facebook.com/events/2554143671542830/,POINT(4.28240250000004 52.0653258)
800,19.1860156,50.145287,2020-10-28T00:00:00,https://www.facebook.com/events/3540019789411848/,POINT(19.1860156 50.145287)
801,144.9630576,-37.8136275999999,2020-10-28T00:00:00,https://www.facebook.com/photo.php?fbid=10159244489872150&set=p.10159244489872150&type=3&av=1539769832715676&eav=AfZIp2qgODZIetWzEXjGwWii_raEA-2RvPBxzhB4DV7Z3k-5MI6uUsOi84M9vEhDldLh0sag07zK3Duppk4_UQiS,POINT(144.9630576 -37.8136275999999)
802,22.7848432,51.9853496,2020-10-28T00:00:00,https://www.facebook.com/events/2554143671542830/,POINT(22.7848432 51.9853496)
803,10.8016031,59.8811616,2020-10-28T00:00:00,https://www.facebook.com/events/2693274090938023/,POINT(10.8016031 59.8811616)
804,19.7030244,51.4051721,2020-10-28T00:00:00,https://www.facebook.com/events/2929098333989712/,POINT(19.7030244 51.4051721)
